Building custom linters...
Running custom linters (largefunc max-lines=60)...
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_activation_job.go:37:20: buildActivationJob is 67 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_activation_job.go:396:20: generateCheckoutGitHubFolderForActivation is 90 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_activation_permissions.go:39:6: buildActivationAppTokenPermissions is 79 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_activation_steps.go:173:20: addActivationSkillInstallSteps is 74 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_aw_context.go:52:6: injectInputIntoTrigger is 89 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_custom_jobs.go:479:20: configureCustomJobSteps is 88 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_custom_jobs.go:685:20: applyBuiltinJobNeedsAugmentations is 62 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_custom_jobs.go:780:6: insertPreStepsAtEarliestBoundary is 70 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_difc_proxy.go:362:6: injectProxyEnvIntoCustomSteps is 69 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_experiments.go:133:6: extractOneExperimentConfig is 93 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_experiments.go:650:20: buildPushExperimentsStateJob is 87 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_github_actions_steps.go:60:6: generatePlaceholderSubstitutionStep is 63 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_github_mcp_steps.go:23:20: generateGitHubMCPLockdownDetectionStep is 70 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_github_mcp_steps.go:201:20: generateParseGuardVarsStep is 63 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_jobs.go:177:20: buildJobs is 80 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_main_job.go:21:20: buildMainJob is 61 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_main_job_helpers.go:255:20: buildMainJobEnv is 65 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_orchestrator_engine.go:253:20: resolveEngineFromIncludesAndImports is 61 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_orchestrator_engine.go:328:20: applyEngineImportDefaults is 73 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_orchestrator_frontmatter.go:83:20: parseFrontmatterSection is 191 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_orchestrator_workflow.go:394:20: extractAdditionalConfigurations is 156 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_orchestrator_workflow.go:622:20: processOnSectionAndFilters is 92 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_safe_output_jobs.go:16:20: buildSafeOutputsJobs is 142 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_safe_output_jobs.go:178:20: buildCallWorkflowJobs is 171 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_safe_outputs_job.go:177:20: buildSafeOutputsSetupAndDownloadSteps is 85 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_safe_outputs_job.go:269:20: buildSafeOutputsHandlerOutputsAndActionSteps is 220 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_safe_outputs_job.go:748:20: buildJobLevelSafeOutputEnvVars is 127 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_safe_outputs_steps.go:90:20: buildHandlerManagerStep is 204 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_string_api.go:57:20: ParseWorkflowString is 168 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_unlock_job.go:20:20: buildUnlockJob is 102 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_workflow_call.go:96:20: injectWorkflowCallOutputs is 77 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_workflow_call.go:248:6: injectWorkflowCallSecretsSection is 104 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_yaml.go:92:20: generateYAML is 128 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_yaml_ai_execution.go:264:20: generateEngineInstallAndPreAgentSteps is 116 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_yaml_ai_execution.go:389:20: generateAgentRunSteps is 118 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_yaml_checkout.go:14:20: generateInitialAndCheckoutSteps is 134 lines long (limit: 60); consider breaking it up
/home/runner/work/gh-aw/gh-aw/pkg/workflow/compiler_yaml_header.go:20:20: generateWorkflowHeader is 172 lines long (limit: 60); consider breaking it up
